,user_ID,song_name,song_ID,artists,danceability,energy,valence,acousticness,loudness,mode,speechiness,tempo,instrumentalness,meditation/relaxation music,rating
0,1448,"Piano Concerto No. 3 in D Minor, Op. 30: III. Finale. Alla breve",4BJqT0PrAfrxzMOxytFOIz,"['Sergei Rachmaninoff', 'James Levine', 'Berliner Philharmoniker']",0.279,0.211,0.0594,0.982,-20.096,1,0.0366,80.954,0.878,True,6
1,1090,Gati Bali,1o6I8BglA6ylDMrIELygv1,['KHP Kridhamardawa Karaton Ngayogyakarta Hadiningrat'],0.328,0.166,0.0394,0.961,-14.85,1,0.0339,110.339,0.913,True,4
2,1310,"Morceaux de fantaisie, Op. 3: No. 2, Prélude in C-Sharp Minor. Lento",02GDntOXexBFUvSgaXLPkd,['Sergei Rachmaninoff'],0.389,0.088,0.0731,0.993,-21.091,0,0.0456,92.867,0.527,True,2
3,1095,Por Que Me Dejaste - Remasterizado,0F30WM8qRpO8kdolepZqdM,['Ignacio Corsini'],0.378,0.115,0.578,0.994,-27.039,0,0.0414,70.37,0.906,True,3
4,1416,"10 Préludes, Op. 23: No. 5 in G Minor. Alla marcia",0NFeJgmTAV1kDfzSQNK41Z,"['Sergei Rachmaninoff', 'Ruth Laredo']",0.384,0.171,0.282,0.989,-20.476,0,0.0319,107.698,0.82,True,5
5,1345,"Morceaux de fantaisie, Op. 3: No. 2, Prélude in C-Sharp Minor. Lento",0eQsdik7GTEy7M3UytCbSN,['Sergei Rachmaninoff'],0.389,0.088,0.0731,0.993,-21.091,0,0.0456,92.867,0.527,True,2
6,1330,Gati Main-main,1OicZEUVSwpiAosSQm16D8,['KHP Kridhamardawa Karaton Ngayogyakarta Hadiningrat'],0.37,0.196,0.0608,0.975,-15.531,1,0.0449,116.65,0.945,True,9
7,1067,"6 Songs, Op. 38: No. 3, Daisies (Version for Piano)",1Pb4ebTZ4t8erRbLPPb8Pk,"['Sergei Rachmaninoff', 'Ruth Laredo']",0.248,0.0876,0.077,0.994,-25.786,1,0.0566,82.025,0.907,True,2
8,1010,"Piano Concerto No. 3 in D Minor, Op. 30: III. Finale. Alla breve",1SCWBjhk5WmXPxhDduD3HM,"['Sergei Rachmaninoff', 'James Levine', 'Berliner Philharmoniker']",0.279,0.211,0.0594,0.982,-20.096,1,0.0366,80.954,0.878,True,8
9,1244,"No. 14, Vocalise",1xGx91Ks3RQFqyam0Fdrky,"['Sergei Rachmaninoff', 'Yuri Temirkanov', 'St. Petersburg Philharmonic Orchestra']",0.0663,0.0257,0.0348,0.8490000000000001,-31.134,0,0.0472,74.282,0.956,True,6
10,1286,"Rhapsody on a Theme of Paganini, Op. 43: Var. XVIII, Andante cantabile",2Cfk7LOOiTLVxe9BNoGGCL,"['Sergei Rachmaninoff', 'Zubin Mehta', 'Vladimir Feltsman', 'Israel Philharmonic Orchestra']",0.241,0.109,0.0379,0.992,-19.286,1,0.0377,79.97399999999998,0.853,True,3
11,1159,Lamento - Remasterizado,2F9giG3Sziq3kJJl9n0GJi,['Ignacio Corsini'],0.293,0.232,0.619,0.956,-20.828000000000007,0,0.0679,87.417,0.7120000000000001,True,6
12,1090,Gati Hendrakusuma,2OlwTxNQ9kSkbPFC7tQN5x,['KHP Kridhamardawa Karaton Ngayogyakarta Hadiningrat'],0.396,0.3,0.072,0.923,-11.768,1,0.0353,110.746,0.61,True,2
13,1089,II. Le quai du porte de Famagouste,2WlMjnZIthzqfwYVHh6zbj,"['Ildebrando Pizzetti', 'Arturo Toscanini']",0.251,0.275,0.234,0.992,-17.295,0,0.0371,94.264,0.785,True,1
14,1236,Gati Kridha,2tDwnNWXjupxNEjTTb9qDQ,['KHP Kridhamardawa Karaton Ngayogyakarta Hadiningrat'],0.27,0.266,0.0447,0.922,-11.077,1,0.0323,100.771,0.802,True,1
15,1269,Ne İçin Mahzun,38iWg7IcG1EXrxbibvq8Ox,['Hanende İbrahim Efendi'],0.264,0.287,0.33,0.995,-13.323,1,0.0356,74.301,0.935,True,8
16,1304,Gati Kumencar,3C8IMx8BgWGiQE9bIuqCvP,['KHP Kridhamardawa Karaton Ngayogyakarta Hadiningrat'],0.316,0.15,0.0443,0.982,-14.79,1,0.0333,99.526,0.909,True,9
17,1134,III. Allegro scherzando,3Dx6MiHU13YcyVf6FADqjC,"['Sergei Rachmaninoff', 'Michael Tilson Thomas', 'Barry Douglas', 'London Symphony Orchestra']",0.2,0.0916,0.0515,0.973,-22.312,0,0.0376,65.211,0.875,True,2
18,1144,"6 Songs, Op. 38: No. 3, Daisies (Version for Piano)",3Jsx93Aim5jr96396tgDt7,"['Sergei Rachmaninoff', 'Ruth Laredo']",0.248,0.0876,0.077,0.994,-25.786,1,0.0566,82.025,0.907,True,6
19,1315,"10 Préludes, Op. 23: No. 5 in G Minor. Alla marcia",3XooVMkWzhrHdPQyi46sl6,"['Sergei Rachmaninoff', 'Ruth Laredo']",0.384,0.171,0.282,0.989,-20.476,0,0.0319,107.698,0.82,True,1
20,1291,III. Adagio,3ifqMMzDlh6wLRzjLOMTdQ,"['Sergei Rachmaninoff', 'Yuri Temirkanov', 'St. Petersburg Philharmonic Orchestra']",0.16,0.0521,0.036,0.8959999999999999,-23.652,1,0.0398,86.736,0.846,True,3
21,1438,Pobre Mi China - Remasterizado,3nX4gFJqhxKT61sYkB029F,['Ignacio Corsini'],0.366,0.231,0.429,0.983,-24.963,1,0.283,63.24100000000001,0.905,True,5
22,1219,Perestij,4cAxCLjPLojDKuihPNLiCJ,['Safiye Ayla'],0.362,0.315,0.286,0.994,-14.111,1,0.0646,91.551,0.636,True,6
23,1226,Popular Tradición de Esta Tierra - Remasterizado,4wJ5bBGKlrH3rogJEGELAu,['Ignacio Corsini'],0.3670000000000001,0.192,0.637,0.993,-23.92,1,0.296,83.11,0.947,True,5
24,1100,III. Andante,4zNQOx4Y12lNIY1JfoSbCg,"['Sergei Rachmaninoff', 'János Starker']",0.158,0.0135,0.0513,0.99,-31.06,1,0.038,67.377,0.789,True,2
25,1068,El Ultimo Adiós - Remasterizado,5FfgNwdEMR9buAFPnDAfwM,['Ignacio Corsini'],0.348,0.345,0.73,0.948,-21.624,0,0.0654,65.854,0.856,True,2
26,1386,III. Andante,5GdglyuPh8z69eZ545uBNO,"['Sergei Rachmaninoff', 'János Starker']",0.158,0.0135,0.0513,0.99,-31.06,1,0.038,67.372,0.789,True,1
27,1163,"Suite No. 1, Op. 5 ""Fantaisie-tableaux"": II. La nuit? L'amour",5bQh5CYt4ugpKGr0CqgUP4,"['Sergei Rachmaninoff', 'Emanuel Ax', 'Yefim Bronfman']",0.292,0.0769,0.0308,0.987,-24.999,1,0.0393,69.601,0.873,True,7
28,1285,"Rhapsody on a Theme of Paganini, Op. 43: Var. XVIII, Andante cantabile",5jaZaDPkmw0zrju8ykIo1V,"['Sergei Rachmaninoff', 'Zubin Mehta', 'Vladimir Feltsman', 'Israel Philharmonic Orchestra']",0.241,0.109,0.0379,0.992,-19.286,1,0.0377,79.97399999999998,0.853,True,9
29,1312,Gati Mrak Ati,5oBrfFrhnPn207qrhS0m0s,['KHP Kridhamardawa Karaton Ngayogyakarta Hadiningrat'],0.39,0.13,0.0388,0.967,-15.466,1,0.0355,115.774,0.867,True,5
30,1314,III. Allegro scherzando,5tWNbOrkJON8fcBoIzPru7,"['Sergei Rachmaninoff', 'Michael Tilson Thomas', 'Barry Douglas', 'London Symphony Orchestra']",0.2,0.0916,0.0515,0.973,-22.312,0,0.0376,65.211,0.875,True,8
31,1142,III. Adagio,5w0UyOkp8IjkKMwNlaNLol,"['Sergei Rachmaninoff', 'Yuri Temirkanov', 'St. Petersburg Philharmonic Orchestra']",0.16,0.0521,0.036,0.8959999999999999,-23.652,1,0.0398,86.736,0.846,True,8
32,1189,Sabah Taksim,6ncKDX6CBB2CBtZWGeEEDK,['Neyzen İhsan Bey'],0.398,0.162,0.378,0.995,-18.142,0,0.241,71.59899999999998,0.799,True,8
33,1408,"Suite No. 1, Op. 5 ""Fantaisie-tableaux"": II. La nuit? L'amour",6o36ekDgoZZJFPiKw6Ufef,"['Sergei Rachmaninoff', 'Emanuel Ax', 'Yefim Bronfman']",0.292,0.0769,0.0308,0.987,-24.999,1,0.0393,69.601,0.873,True,7
34,1216,Mis Ilusiones Perdidas - Remasterizado,6z1LtPEtDYQX6S2V0bMKga,['Ignacio Corsini'],0.3229999999999999,0.111,0.667,0.995,-24.571,0,0.0418,99.349,0.7809999999999999,True,1
35,1005,Gati Mardawa,7D97NlUR1DwwNRSbZD0ei0,['KHP Kridhamardawa Karaton Ngayogyakarta Hadiningrat'],0.277,0.143,0.061,0.977,-13.089,1,0.0302,99.407,0.885,True,7
36,1313,Gati Raja,7GH0i9aPD7ZGNxoIVS4Fhf,['KHP Kridhamardawa Karaton Ngayogyakarta Hadiningrat'],0.264,0.22,0.0515,0.971,-13.305,1,0.0328,111.811,0.922,True,9
37,1098,La Muerte de Milonguita - Remasterizado,7LZfPBcXlGnMlhXuTgpH5Z,['Ignacio Corsini'],0.374,0.122,0.5329999999999999,0.995,-25.462,0,0.0981,69.889,0.8809999999999999,True,6
38,1386,"No. 14, Vocalise",7j8gfyLLffcs9pL4ig7aCf,"['Sergei Rachmaninoff', 'Yuri Temirkanov', 'St. Petersburg Philharmonic Orchestra']",0.0663,0.0257,0.0348,0.8490000000000001,-31.134,0,0.0472,74.282,0.956,True,4
39,1339,La Maleva - Remasterizado,0xJCJ9XSNcdTIz0QKmhtEn,['Ignacio Corsini'],0.339,0.0958,0.219,0.994,-26.94400000000001,1,0.053,86.279,0.969,True,1
40,1181,En la Huella del Querer - Remasterizado,15BEv0mKGqHHxyDAcLJ7ei,['Ignacio Corsini'],0.373,0.176,0.383,0.994,-22.045,0,0.0703,106.595,0.866,True,8
41,1313,Mi Guitarra - Remasterizado,213QIyv1KZIeGg7oXAMbah,['Ignacio Corsini'],0.236,0.124,0.409,0.995,-22.971,1,0.0515,71.524,0.981,True,2
42,1215,Flor Marchita - Remasterizado,2cK20o1IdLmUIC4NoPWzOt,['Ignacio Corsini'],0.36,0.0954,0.344,0.994,-24.17,0,0.064,76.3,0.726,True,7
43,1203,El Huerfano - Remasterizado,5cUFFY2Atw4QeFitueQCt2,['Ignacio Corsini'],0.366,0.0749,0.515,0.996,-26.34,1,0.0806,90.969,0.924,True,7
44,1439,Recuerdo Criollo - Remasterizado,69mWzKmxFFwIAJS8nzcCgO,['Ignacio Corsini'],0.313,0.102,0.312,0.985,-30.026,0,0.0436,67.575,0.97,True,8
45,1427,La Muchacha - Remasterizado,6eew1OP57TeUDUMcjYE6A0,['Ignacio Corsini'],0.3229999999999999,0.106,0.255,0.992,-25.138,1,0.0483,71.432,0.918,True,8
46,1084,Pek Muztaribim,1lxRFRONmnUxRz5YhQAAwX,['Hafız Ahmet Celâl Tokses'],0.26,0.333,0.19,0.995,-17.084,1,0.0896,78.08,0.917,True,3
47,1230,Cuando Buda Sonríe - Remasterizado,1u9zTLc3iWTud0cZM83CDr,['Francisco Canaro'],0.377,0.335,0.618,0.992,-16.295,1,0.0426,79.422,0.961,True,1
48,1037,La Danza de las Libélulas - Remasterizado,2626aAS6eQgc6CvdLVnoOw,['Francisco Canaro'],0.397,0.229,0.424,0.996,-15.284,0,0.0365,80.086,0.8370000000000001,True,5
49,1249,Mi Alazan Tostado - Remasterizado,2yqz75MA7AtLje5drtf8Gq,['Ignacio Corsini'],0.335,0.305,0.56,0.994,-19.576,0,0.0427,100.941,0.89,True,4
50,1499,Pelele - Remasterizado,50x81sb0gBee8tf30mm8C9,['Ignacio Corsini'],0.394,0.327,0.779,0.993,-20.112,1,0.12,63.228,0.764,True,8
51,1174,Cariño Eterno Irene - Remasterizado,59wHAfTZzQLjlRuki5fQbA,['Ignacio Corsini'],0.337,0.311,0.706,0.993,-19.693,1,0.0549,115.48,0.977,True,5
52,1320,Juan de los Santos Arena - Remasterizado,5To3LZIEi3F2Uto6huARlu,['Ignacio Corsini'],0.345,0.237,0.36,0.986,-19.972,0,0.0527,62.794,0.93,True,6
